"","data_x","data_y"
"1",0.3006125,0.89297642
"2",0.3980099,0.84120694
"3",0.00859290000000001,0.9985425
"4",0.0530038,0.945239
"5",0.0696153,0.89148214
"6",0.1185226,0.88108644
"7",0.1576485,0.87276988
"8",0.1869929,0.86653246
"9",0.0568367,0.87814268
"10",0.41,0.80000020670868
"11",0.1100594,0.8068073884
"12",0.3684429,0.75211752
"13",0.2500718,0.72833496
"14",0.2295406,0.72753137
"15",0.0489471,0.6358315
"16",0.0865348,0.6495122
"17",0.0892241,0.6423192
"18",0.0959318,0.6529324
"19",0.1825823,0.6781558
"20",0.1849651,0.5875076
"21",0.00518349999999996,0.4786643
"22",0.44343129,0.74343162
"23",0.1782606,0.5300302
"24",0.2122633,0.5221375
"25",0.0972335,0.3026277
"26",0.0152691,0.0535846
"27",0.0261619,0.070358
"28",0.46085631,0.7419675
"29",0.1555508,0.2487698
"30",0.3039291,0.4980792
"31",0.2774328,0.4438205
"32",0.4099995,0.6441157
"33",0.2549986,0.3756484
"34",0.18972,0.2402444
"35",0.1751756,0.2140059
"36",0.1599981,0.2111038
"37",0.1713678,0.1819378
"38",0.1606312,0.1877673
"39",0.1299979,0.1591424
"40",0.0399974,0.00325810000000004
"41",0.3563503,0.4053296
"42",0.2298017,0.0576437
"43",0.3058833,0.0755563
"44",0.3032951,0.065897
"45",0.3330716,0.1304965
"46",0.3524256,0.2081201
"47",0.3731771,0.3266967
"48",0.43468021,0.5380204
"49",0.42880293,0.3962291
"50",0.3992822,0.2288118
"51",0.40493913,0.0258143
"52",0.42787283,0.1137802
"53",0.499997638586,0.09
"54",0.4999977383639,0.12
"55",0.4999980376982,0.21
"56",0.53820261,0.0710002
"57",0.53506266,0.1309181
"58",0.5593918,0.1325493
"59",0.5583918,0.1315493
"60",0.55752028,0.1425113
"61",0.54254918,0.1914858
"62",0.55229116,0.202283
"63",0.57839378,0.0541083
"64",0.57734853,0.0640535
"65",0.56376027,0.1933414
"66",0.56271502,0.2032866
"67",0.56166977,0.2132318
"68",0.55957927,0.2331223
"69",0.56580755,0.2640248
"70",0.53149265,0.6635881
"71",0.57741384,0.4895051
"72",0.58709057,0.4506932
"73",0.6204589,0.4501577
"74",0.6530154,0.3556057
"75",0.6953639,0.3397469
"76",0.6992711,0.3305418
"77",0.7031784,0.3213367
"78",0.7198075,0.2845165
"79",0.7188075,0.2845165
"80",0.7237032,0.2975492
"81",0.7318379,0.2792782
"82",0.8634487,0.0205739
"83",0.7323348,0.3236382
"84",0.7411021,0.3056623
"85",0.9302621,0.1374484
"86",0.9106847,0.142761
"87",0.7384621,0.4183774
"88",0.6539145,0.6029967
"89",0.9719881,0.2171387
"90",0.8583619,0.4658193
"91",0.7120918,0.6022196
"92",0.9457258,0.5321783
"93",0.8221761,0.6632427
"94",0.8129711,0.6671501
"95",0.6933057,0.71794565
"96",0.9079437,0.7500316
"97",0.9069437,0.7490316
"98",0.7757459,0.75137725
"99",0.7673722,0.76242199
"100",0.7382109,0.7707502
"101",0.7696299,0.785868
"102",0.8305476,0.78272756
"103",0.8295476,0.78372756
"104",0.8595065,0.78115734
"105",0.8894654,0.77958712
"106",0.9397319,0.78464208
"107",0.7490487,0.82178892
"108",0.9881354,0.84270628
"109",0.8366912,0.84731882
"110",0.8862046,0.85427747
"111",0.9159126,0.85845266
"112",0.9037712,0.8711957
"113",0.8325702,0.87068992
"114",0.7934443,0.86237346
"115",0.9733037,0.9268212
"116",0.9698464,0.97101
"117",0.8296725,0.9679764
"118",0.56709366,0.84357109
"119",0.7289731,0.9430781
"120",0.5737237,0.85162184
"121",0.7374739,0.999264
"122",0.6198207,0.9845074
"123",0.58714234,0.9341872
"124",0.56180466,0.90286
"125",0.52079127,0.89781474
"126",0.48604894,0.9995128
